timesteps,episode_rewards,episode_lengths,x_positions,flags_gotten
40000,588.44,1385.42,628.57,0.0
80000,594.85,1755.96,635.06,0.0
120000,733.24,1225.53,773.29,0.0
160000,824.06,585.65,864.16,0.0
200000,666.56,715.96,706.66,0.0
240000,701.03,517.77,758.31,0.0
280000,740.87,512.72,797.85,0.0
320000,788.95,688.8,910.2,0.03
360000,751.31,597.38,853.16,0.0
400000,775.79,673.33,866.13,0.0
440000,742.0,486.74,823.24,0.0
480000,817.81,545.36,901.92,0.0
520000,682.62,477.0,763.42,0.0
560000,729.09,495.2,810.64,0.0
600000,731.67,454.9,811.26,0.0
640000,776.35,513.19,858.81,0.0
680000,729.72,563.75,812.87,0.0
720000,648.77,437.9,727.45,0.0
760000,838.65,609.45,956.0,0.01
800000,752.96,615.87,838.45,0.0
840000,750.34,515.1,832.87,0.0
880000,769.89,556.69,854.57,0.0
920000,652.64,618.41,755.64,0.0
960000,723.35,550.08,822.77,0.01
1000000,786.16,619.18,888.9,0.01
