timesteps,episode_rewards,episode_lengths,x_positions,flags_gotten
40000,473.94736842105266,1843.2631578947369,622.0921052631579,0.0
80000,574.16,1587.37,709.79,0.0
120000,706.48,546.98,790.6,0.0
160000,763.18,574.55,848.48,0.0
200000,705.07,482.52,785.76,0.0
240000,752.28,579.15,837.83,0.0
280000,694.25,521.97,777.09,0.0
320000,726.75,463.75,806.5,0.01
360000,707.2,523.88,789.98,0.0
400000,802.16,505.09,884.18,0.0
440000,763.46,499.14,845.08,0.0
480000,774.17,558.47,858.68,0.0
520000,765.96,523.79,848.82,0.0
560000,669.27,527.35,752.4,0.0
600000,714.3,505.42,796.09,0.0
640000,743.19,558.66,858.48,0.02
680000,725.7,454.95,805.34,0.0
720000,771.49,500.43,853.12,0.0
760000,672.2,634.18,760.75,0.0
800000,693.38,575.86,793.89,0.01
840000,803.76,539.98,887.48,0.0
880000,817.97,547.46,902.05,0.0
920000,753.97,732.55,847.55,0.0
960000,695.71,436.77,774.11,0.01
1000000,747.24,511.95,829.45,0.0
